,city,lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
385,faanui,-16.48,-151.75,298.37,82,20,10.85,PF,1595361797
386,maracaju,-21.61,-55.17,302.52,33,7,3.15,BR,1595361797
387,bauchi,10.5,10.0,297.7,78,4,2.95,NG,1595361797
388,coos bay,43.37,-124.22,297.59,77,20,7.7,US,1595361798
389,sao felix do xingu,-6.64,-51.99,306.73,30,33,1.7,BR,1595361798
390,bonnyville,54.27,-110.73,296.15,53,75,4.1,CA,1595361798
391,half moon bay,37.46,-122.43,294.82,87,75,3.44,US,1595361799
392,clyde river,70.47,-68.59,281.15,93,75,4.1,CA,1595361799
393,puerto palomas,31.77,-107.62,307.15,23,1,2.1,MX,1595361799
394,dingle,11.0,122.67,297.47,90,99,1.99,PH,1595361799
395,sao joao da barra,-21.64,-41.05,299.15,69,0,5.1,BR,1595361701
396,puquio,-14.7,-74.13,291.08,27,0,4.29,PE,1595361800
397,yadgir,16.77,77.13,300.54,75,100,1.78,IN,1595361708
398,kruisfontein,-34.0,24.73,289.7,33,0,4.19,ZA,1595361800
399,nichinan,31.6,131.37,298.71,83,90,4.92,JP,1595361801
400,saint-denis,48.92,2.33,296.48,31,0,3.6,FR,1595361801
401,panaba,21.28,-88.27,305.23,60,1,3.9,MX,1595361801
402,kieta,-6.22,155.63,298.39,79,8,2.0,PG,1595361801
403,wencheng,33.06,113.8,295.08,96,100,3.15,CN,1595361801
404,albenga,44.05,8.22,298.15,100,40,3.1,IT,1595361802
405,sidi ali,36.1,0.42,303.96,35,35,4.16,DZ,1595361802
406,henties bay,-22.12,14.28,292.59,48,0,0.45,NA,1595361802
407,georgiyevka,43.04,74.71,294.15,60,75,5.0,KZ,1595361802
408,chardara,41.25,67.97,299.3,29,0,1.63,KZ,1595361803
409,fare,-16.7,-151.02,298.4,80,13,11.35,PF,1595361803
410,mandan,46.83,-100.89,301.15,53,1,3.22,US,1595361803
411,high level,58.52,-117.14,294.15,73,75,2.1,CA,1595361803
412,purpe,64.48,76.69,279.82,88,0,5.94,RU,1595361804
413,coahuayana,18.73,-103.68,302.15,66,40,2.98,MX,1595361804
414,oranjestad,12.52,-70.03,305.15,66,40,9.8,AW,1595361537
415,touros,-5.2,-35.46,299.15,74,75,4.6,BR,1595361804
416,ferrol,43.48,-8.24,293.15,77,20,3.1,ES,1595361805
417,birin,26.89,88.07,290.08,100,83,0.75,NP,1595361805
418,arkhara,49.42,130.08,287.24,77,0,2.31,RU,1595361805
419,pontian kecil,1.48,103.39,298.15,94,20,2.33,MY,1595361805
420,albemarle,35.35,-80.2,308.15,63,75,3.6,US,1595361564
421,taltal,-25.4,-70.48,290.36,58,100,1.77,CL,1595361806
422,severnyy,50.68,36.55,294.15,64,77,4.0,RU,1595361806
423,bonthe,7.53,-12.51,298.16,88,100,4.28,SL,1595361807
424,llandrindod wells,52.24,-3.38,290.93,61,0,1.18,GB,1595361807
425,jiazi,22.88,116.07,300.32,84,0,1.73,CN,1595361807
426,kapiri mposhi,-13.97,28.68,285.04,81,0,3.26,ZM,1595361807
427,morondava,-20.28,44.28,293.81,75,0,5.76,MG,1595361807
428,dole,47.08,5.5,301.15,39,100,4.6,FR,1595361808
429,okhotsk,59.38,143.3,286.68,75,0,0.4,RU,1595361808
430,anju,39.62,125.66,292.77,85,89,0.85,KP,1595361808
431,awjilah,29.11,21.29,299.61,44,0,7.61,LY,1595361808
432,tommot,58.96,126.29,285.02,81,0,1.83,RU,1595361809
433,ulladulla,-35.35,150.47,280.93,75,0,4.1,AU,1595361581
434,aljezur,37.32,-8.8,297.04,80,0,3.33,PT,1595361809
435,shache,38.42,77.24,298.74,20,100,6.71,CN,1595361809
436,matagami,49.75,-77.63,296.15,40,20,3.01,CA,1595361809
437,aklavik,68.22,-135.01,280.15,93,90,1.0,CA,1595361809
438,itapaci,-14.95,-49.55,302.96,30,0,0.26,BR,1595361810
439,oussouye,12.48,-16.55,300.15,88,75,4.1,SN,1595361810
440,denison,33.76,-96.54,306.48,52,40,4.6,US,1595361810
441,chapais,49.78,-74.85,294.15,49,20,5.1,CA,1595361761
442,korem,12.51,39.52,286.81,87,100,3.21,ET,1595361609
443,havoysund,71.0,24.66,284.15,93,75,2.1,NO,1595361811
444,pingshan,22.99,114.71,298.8,86,0,1.23,CN,1595361811
445,prado,-17.34,-39.22,295.83,71,0,2.46,BR,1595361811
446,teluknaga,-6.1,106.64,299.82,88,20,2.6,ID,1595361812
447,batagay,67.63,134.63,295.16,53,70,2.18,RU,1595361812
448,condado,21.88,-79.84,299.15,94,100,1.5,CU,1595361812
449,igarka,67.47,86.58,282.53,86,36,6.5,RU,1595361812
450,verkhoturye,58.86,60.81,286.28,86,0,1.43,RU,1595361813
451,havre-saint-pierre,50.23,-63.6,293.15,60,1,11.8,CA,1595361813
452,davila,18.47,120.58,300.76,79,52,1.88,PH,1595361813
453,lovozero,68.0,35.01,289.13,69,100,1.88,RU,1595361813
454,vanimo,-2.67,141.3,298.62,86,50,2.35,PG,1595361814
455,namwala,-15.75,26.44,285.91,64,0,2.6,ZM,1595361814
456,samsun,41.25,36.33,296.15,69,75,4.1,TR,1595361814
457,de-kastri,51.47,140.78,287.93,95,100,2.75,RU,1595361814
458,kandrian,-6.22,149.55,298.12,88,54,4.59,PG,1595361815
459,komatipoort,-25.43,31.95,284.26,87,0,0.69,ZA,1595361815
460,port-gentil,-0.72,8.78,297.15,88,20,5.48,GA,1595361672
461,kinango,-4.14,39.32,294.59,85,78,3.92,KE,1595361815
462,jacareacanga,-6.22,-57.75,308.15,36,58,1.5,BR,1595361815
463,sabancuy,18.97,-91.18,304.92,56,68,4.05,MX,1595361815
464,agadez,19.75,10.25,304.72,17,0,1.25,NE,1595361816
465,viedma,-40.81,-63.0,282.04,89,100,2.24,AR,1595361816
466,sesheke,-17.48,24.3,289.15,38,0,2.1,ZM,1595361816
467,faya,18.39,42.45,294.15,88,93,2.1,SA,1595361817
468,chignahuapan,19.83,-98.03,293.92,62,100,4.45,MX,1595361817
469,vao,-22.67,167.48,293.72,77,100,8.58,NC,1595361817
470,esperance,-33.87,121.9,281.15,75,0,7.7,AU,1595361817
471,necochea,-38.55,-58.74,283.15,98,100,7.6,AR,1595361818
472,ippy,6.27,21.22,294.06,96,87,1.28,CF,1595361608
473,kigoma,-4.88,29.63,294.15,73,21,1.7,TZ,1595361818
474,baruun-urt,46.68,113.28,289.96,65,0,2.97,MN,1595361819
475,beisfjord,68.38,17.6,283.15,93,75,5.7,NO,1595361819
476,lhokseumawe,5.18,97.15,298.15,83,100,2.19,ID,1595361819
477,ripiceni,47.95,27.13,294.26,77,0,3.6,RO,1595361820
478,kapuskasing,49.42,-82.43,297.15,44,75,4.6,CA,1595361820
479,macia,-25.03,33.1,288.5,84,0,2.49,MZ,1595361820
480,haines junction,60.75,-137.51,284.28,81,100,1.29,CA,1595361821
481,the valley,18.22,-63.06,304.15,66,40,4.1,AI,1595361821
482,oschersleben,52.03,11.25,290.37,51,0,2.68,DE,1595361821
483,oktyabrskiy,54.48,53.47,289.26,85,0,0.93,RU,1595361821
484,raga,8.46,25.68,295.06,93,62,1.28,SS,1595361822
485,muros,42.78,-9.06,294.82,73,0,6.26,ES,1595361822
486,berlevag,70.86,29.09,287.15,100,40,2.6,NO,1595361823
487,anloga,5.79,0.9,298.15,88,20,3.1,GH,1595361823
488,namatanai,-3.67,152.43,299.09,85,61,2.77,PG,1595361823
489,atar,20.52,-13.05,311.14,22,64,3.55,MR,1595361824
490,rio grande,-32.03,-52.1,302.15,39,100,2.6,BR,1595361579
491,murshidabad,24.18,88.27,300.61,84,100,1.92,IN,1595361685
492,cotonou,6.37,2.42,298.15,94,20,4.6,BJ,1595361824
493,georgetown,5.41,100.34,299.15,100,40,2.1,MY,1595361824
494,hays,30.05,-98.03,307.59,46,90,3.57,US,1595361737
495,la mira,18.04,-102.33,303.85,68,84,3.71,MX,1595361825
496,berezniki,59.42,56.81,288.71,64,100,1.34,RU,1595361825
497,toyooka,35.53,134.83,295.08,91,89,0.98,JP,1595361655
498,mariental,-24.63,17.97,287.05,32,0,4.93,NA,1595361826
499,shitanjing,39.23,106.34,292.99,67,77,6.0,CN,1595361826
500,tongliao,43.61,122.27,294.35,81,97,3.99,CN,1595361826
501,lakhipur,26.03,90.3,298.4,92,100,1.04,IN,1595361826
502,maniwaki,46.38,-75.97,294.53,55,99,1.21,CA,1595361827
503,asau,46.43,26.4,289.26,96,0,1.33,RO,1595361827
504,chalchihuites,23.48,-103.88,294.53,57,44,3.58,MX,1595361827
505,jasper,37.2,-94.35,303.71,55,1,7.7,US,1595361827
506,puerto escondido,15.85,-97.07,303.15,66,90,3.6,MX,1595361659
507,padang,-0.95,100.35,298.67,78,99,2.03,ID,1595361828
508,kadyy,57.79,43.19,287.78,96,69,0.62,RU,1595361828
509,mbandaka,0.05,18.26,296.57,66,0,0.73,CD,1595361828
510,atbasar,51.8,68.33,288.76,71,100,4.67,KZ,1595361829
511,harnosand,62.63,17.94,288.15,54,31,4.6,SE,1595361829
512,inongo,-1.95,18.27,296.09,59,0,0.63,CD,1595361829
513,esfahan,32.66,51.68,300.15,13,0,3.1,IR,1595361570
514,tiksi,71.69,128.87,282.57,90,94,2.26,RU,1595361830
515,alvaraes,-3.22,-64.8,308.15,50,40,2.1,BR,1595361830
516,lebedinyy,58.52,125.52,283.31,86,9,3.8,RU,1595361830
517,zambezi,-13.54,23.1,288.26,44,0,2.24,ZM,1595361830
518,coari,-4.08,-63.14,306.02,43,64,0.94,BR,1595361630
519,alexandria,31.22,29.96,299.15,74,0,7.2,EG,1595361830
520,conceicao do araguaia,-8.26,-49.26,307.15,30,0,1.42,BR,1595361831
521,lamont,35.26,-118.91,307.04,27,1,2.11,US,1595361682
522,montes altos,-5.83,-47.07,308.15,34,20,3.6,BR,1595361831
523,denizli,37.84,29.07,299.15,34,0,4.6,TR,1595361832
524,saint-pierre,-21.34,55.48,291.15,82,75,2.1,RE,1595361832
525,lebanon,36.21,-86.29,308.15,47,40,2.6,US,1595361678
526,xochistlahuaca,16.78,-98.25,302.47,74,100,2.3,MX,1595361832
527,rundu,-17.93,19.77,290.15,29,0,1.5,NA,1595361589
528,pahrump,36.21,-115.98,314.26,12,9,3.13,US,1595361619
529,casteldaccia,38.05,13.53,299.82,74,0,1.31,IT,1595361833
530,edgewater,28.99,-80.9,305.15,59,40,7.7,US,1595361833
531,komsomolskiy,40.43,71.72,296.15,46,0,4.1,UZ,1595361833
532,smoky lake,54.12,-112.47,293.15,78,100,1.79,CA,1595361833
533,coihaique,-45.58,-72.07,276.15,69,75,6.7,CL,1595361801
534,ayagoz,47.97,80.44,291.7,75,29,2.08,KZ,1595361834
535,jiangyou,31.77,104.72,294.14,83,90,0.81,CN,1595361834
536,egvekinot,66.32,-179.17,281.92,63,89,1.19,RU,1595361834
537,mobaye,4.32,21.18,294.35,92,29,0.66,CF,1595361834
538,sao jose da coroa grande,-8.9,-35.15,297.75,73,0,4.92,BR,1595361835
539,mount pleasant,32.79,-79.86,308.15,66,20,4.1,US,1595361673
540,port moresby,-9.44,147.18,295.15,94,20,1.5,PG,1595361682
541,nador,35.17,-2.93,298.15,88,20,2.1,MA,1595361595
542,cap-aux-meules,47.38,-61.86,294.15,73,20,7.2,CA,1595361661
543,itapetinga,-15.25,-40.25,296.79,61,16,3.22,BR,1595361653
544,klyuchi,52.27,79.17,289.63,78,34,3.87,RU,1595361836
545,ulaangom,49.98,92.07,291.26,75,100,2.62,MN,1595361836
546,kiyasovo,56.35,53.12,289.26,91,30,0.45,RU,1595361836
547,abnub,27.27,31.15,303.15,33,0,5.1,EG,1595361837
548,nizhniy tsasuchey,50.52,115.13,289.92,62,63,2.47,RU,1595361837
549,sikasso,10.92,-7.0,298.5,79,3,1.27,ML,1595361837
550,rahimatpur,17.6,74.2,297.15,89,100,1.57,IN,1595361837
551,axim,4.87,-2.24,297.75,89,88,3.75,GH,1595361838
552,le port,-20.94,55.29,292.15,59,90,3.6,RE,1595361838
553,poum,-20.23,164.02,293.29,69,4,5.28,NC,1595361591
554,arlit,18.74,7.39,309.41,24,3,2.92,NE,1595361838
555,broken hill,-31.95,141.43,275.15,93,100,3.1,AU,1595361838
556,kirksville,40.19,-92.58,297.59,88,75,2.6,US,1595361665
557,curup,-3.47,102.53,293.37,93,75,1.23,ID,1595361839
558,puebla,18.83,-98.0,298.71,31,20,1.5,MX,1595361683
559,fortuna,40.6,-124.16,293.71,77,1,5.1,US,1595361840
560,rocha,-34.48,-54.33,291.71,91,100,2.71,UY,1595361840
561,paita,-5.09,-81.11,299.15,54,95,5.7,PE,1595361840
562,ravar,31.27,56.81,298.29,18,0,1.58,IR,1595361840
563,kurilsk,45.23,147.88,286.21,89,100,2.91,RU,1595361840
564,inuvik,68.35,-133.72,281.15,65,90,3.1,CA,1595361841
565,klaksvik,62.23,-6.59,284.15,81,0,4.6,FO,1595361764
566,burgos,42.34,-3.71,292.59,82,20,4.1,ES,1595361841
567,argentan,48.75,-0.02,290.15,63,0,3.6,FR,1595361842
568,dunmanway,51.72,-9.12,289.26,82,75,4.6,IE,1595361842
